nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Kendaraan Bermotor";"Tidak Ada";1997;Tahun;611402;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1997;Tahun;1548397;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1997;Tahun;11735797;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1997;Tahun;16535119;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1998;Tahun;2769375;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1998;Tahun;626680;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1998;Tahun;1586721;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1998;Tahun;12628991;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1998;Tahun;17611767;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";1999;Tahun;2897803;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1999;Tahun;644667;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1999;Tahun;1628531;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1999;Tahun;13053148;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";1999;Tahun;18224149;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2000;Tahun;3038913;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2000;Tahun;666280;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2000;Tahun;1707134;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2000;Tahun;13563017;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2000;Tahun;18975344;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2001;Tahun;3189319;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2001;Tahun;680550;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2001;Tahun;1777293;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2001;Tahun;15275073;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2001;Tahun;20922235;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2002;Tahun;3403433;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2002;Tahun;714222;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2002;Tahun;1865398;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2002;Tahun;17002130;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2002;Tahun;22985183;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2003;Tahun;3792510;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2003;Tahun;798079;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2003;Tahun;2047022;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2003;Tahun;19976376;"Sepeda motor"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2003;Tahun;26613987;Jumlah
"Jumlah Kendaraan Bermotor";"Tidak Ada";2004;Tahun;4231901;"Mobil Penumpang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2004;Tahun;933251;"Mobil Bis"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2004;Tahun;2315781;"Mobil Barang"
"Jumlah Kendaraan Bermotor";"Tidak Ada";2004;Tahun;23061021;"Sepeda motor"
